date,time,temperature,sensor,room,board
08/01/17,00:30:00,18.252,5,1,3
08/01/17,01:00:00,18.188,5,1,3
08/01/17,01:30:00,18.060,5,1,3
08/01/17,02:00:00,17.868,5,1,3
08/01/17,02:30:00,18.708,5,1,3
08/01/17,03:00:00,17.996,5,1,3
08/01/17,03:30:00,17.476,5,1,3
08/01/17,04:00:00,17.608,5,1,3
08/01/17,04:30:00,17.410,5,1,3
08/01/17,05:00:00,17.346,5,1,3
08/01/17,05:30:00,18.252,5,1,3
08/01/17,06:00:00,17.802,5,1,3
08/01/17,06:30:00,18.962,5,1,3
08/01/17,07:00:00,19.672,5,1,3
08/01/17,07:30:00,20.192,5,1,3
08/01/17,08:00:00,20.576,5,1,3
08/01/17,08:30:00,20.800,5,1,3
08/01/17,09:00:00,20.960,5,1,3
08/01/17,09:30:00,21.026,5,1,3
08/01/17,10:00:00,21.158,5,1,3
08/01/17,10:30:00,21.740,5,1,3
08/01/17,11:00:00,21.546,5,1,3
08/01/17,11:30:00,21.546,5,1,3
08/01/17,12:00:00,22.126,5,1,3
08/01/17,12:30:00,21.350,5,1,3
08/01/17,13:00:00,21.610,5,1,3
08/01/17,13:30:00,21.544,5,1,3
08/01/17,14:00:00,21.546,5,1,3
08/01/17,14:30:00,21.738,5,1,3
08/01/17,15:00:00,21.482,5,1,3
08/01/17,15:30:00,21.610,5,1,3
08/01/17,16:00:00,21.994,5,1,3
08/01/17,16:30:00,21.802,5,1,3
08/01/17,17:00:00,21.738,5,1,3
08/01/17,17:30:00,21.932,5,1,3
08/01/17,18:00:00,21.610,5,1,3
08/01/17,18:30:00,21.610,5,1,3
08/01/17,19:00:00,20.962,5,1,3
08/01/17,19:30:00,20.512,5,1,3
08/01/17,20:00:00,20.080,5,1,3
08/01/17,20:30:00,19.866,5,1,3
08/01/17,21:00:00,19.994,5,1,3
08/01/17,21:30:00,19.478,5,1,3
08/01/17,22:00:00,19.350,5,1,3
08/01/17,22:30:00,19.094,5,1,3
08/01/17,23:00:00,18.832,5,1,3
08/01/17,23:30:00,19.090,5,1,3
09/01/17,00:00:00,18.766,5,1,3
09/01/17,00:30:00,18.638,5,1,3
09/01/17,01:00:00,18.508,5,1,3
09/01/17,01:30:00,18.380,5,1,3
09/01/17,02:00:00,18.382,5,1,3
09/01/17,02:30:00,18.188,5,1,3
09/01/17,03:00:00,18.060,5,1,3
09/01/17,03:30:00,17.932,5,1,3
09/01/17,04:00:00,17.932,5,1,3
09/01/17,04:30:00,17.738,5,1,3
09/01/17,05:00:00,17.804,5,1,3
09/01/17,05:30:00,17.930,5,1,3
09/01/17,06:00:00,18.058,5,1,3
09/01/17,06:30:00,19.220,5,1,3
09/01/17,07:00:00,20.000,5,1,3
09/01/17,07:30:00,21.158,5,1,3
09/01/17,08:00:00,20.640,5,1,3
09/01/17,08:30:00,20.704,5,1,3
09/01/17,09:00:00,20.960,5,1,3
09/01/17,09:30:00,21.090,5,1,3
09/01/17,10:00:00,21.220,5,1,3
09/01/17,10:30:00,21.224,5,1,3
09/01/17,11:00:00,15.158,5,1,3
09/01/17,11:30:00,21.290,5,1,3
09/01/17,12:00:00,21.546,5,1,3
09/01/17,12:30:00,21.418,5,1,3
09/01/17,13:00:00,21.610,5,1,3
09/01/17,13:30:00,21.546,5,1,3
09/01/17,14:00:00,21.418,5,1,3
09/01/17,14:30:00,21.546,5,1,3
09/01/17,15:00:00,21.290,5,1,3
09/01/17,15:30:00,21.354,5,1,3
09/01/17,16:00:00,21.354,5,1,3
09/01/17,16:30:00,21.546,5,1,3
09/01/17,17:00:00,21.546,5,1,3
09/01/17,17:30:00,21.482,5,1,3
09/01/17,18:00:00,21.740,5,1,3
09/01/17,18:30:00,21.290,5,1,3
09/01/17,19:00:00,21.482,5,1,3
09/01/17,19:30:00,21.354,5,1,3
09/01/17,20:00:00,21.416,5,1,3
09/01/17,20:30:00,20.704,5,1,3
09/01/17,21:00:00,20.966,5,1,3
09/01/17,21:30:00,20.190,5,1,3
09/01/17,22:00:00,19.930,5,1,3
09/01/17,22:30:00,19.414,5,1,3
09/01/17,23:00:00,19.286,5,1,3
09/01/17,23:30:00,19.094,5,1,3
10/01/17,00:00:00,19.222,5,1,3
10/01/17,00:30:00,18.960,5,1,3
10/01/17,01:00:00,18.830,5,1,3
10/01/17,01:30:00,18.962,5,1,3
10/01/17,02:00:00,18.380,5,1,3
10/01/17,02:30:00,18.446,5,1,3
10/01/17,03:00:00,18.444,5,1,3
10/01/17,03:30:00,18.188,5,1,3
10/01/17,04:00:00,18.060,5,1,3
10/01/17,04:30:00,17.932,5,1,3
10/01/17,05:00:00,18.126,5,1,3
10/01/17,05:30:00,17.932,5,1,3
10/01/17,06:00:00,17.740,5,1,3
10/01/17,06:30:00,17.740,5,1,3
10/01/17,07:00:00,17.930,5,1,3
10/01/17,07:30:00,17.736,5,1,3
10/01/17,08:00:00,18.316,5,1,3
10/01/17,08:30:00,18.316,5,1,3
10/01/17,09:00:00,20.898,5,1,3
10/01/17,09:30:00,20.064,5,1,3
10/01/17,10:00:00,20.320,5,1,3
10/01/17,10:30:00,20.768,5,1,3
10/01/17,11:00:00,21.090,5,1,3
10/01/17,11:30:00,20.960,5,1,3
10/01/17,12:00:00,21.026,5,1,3
10/01/17,12:30:00,21.222,5,1,3
10/01/17,13:00:00,21.290,5,1,3
10/01/17,13:30:00,21.224,5,1,3
10/01/17,14:00:00,21.418,5,1,3
10/01/17,14:30:00,21.354,5,1,3
10/01/17,15:00:00,21.804,5,1,3
10/01/17,15:30:00,21.290,5,1,3
10/01/17,16:00:00,21.674,5,1,3
10/01/17,16:30:00,21.290,5,1,3
10/01/17,17:00:00,21.610,5,1,3
10/01/17,17:30:00,21.530,5,1,3
10/01/17,18:00:00,21.740,5,1,3
10/01/17,18:30:00,21.416,5,1,3
10/01/17,19:00:00,21.546,5,1,3
10/01/17,19:30:00,22.060,5,1,3
10/01/17,20:00:00,21.738,5,1,3
10/01/17,20:30:00,21.930,5,1,3
10/01/17,21:00:00,22.770,5,1,3
10/01/17,21:30:00,21.738,5,1,3
10/01/17,22:00:00,21.674,5,1,3
10/01/17,22:30:00,21.610,5,1,3
10/01/17,23:00:00,21.802,5,1,3
10/01/17,23:30:00,21.802,5,1,3
11/01/17,00:00:00,21.610,5,1,3
11/01/17,00:30:00,21.414,5,1,3
11/01/17,01:00:00,20.640,5,1,3
11/01/17,01:30:00,20.256,5,1,3
11/01/17,02:00:00,19.934,5,1,3
11/01/17,02:30:00,19.736,5,1,3
11/01/17,03:00:00,20.252,5,1,3
11/01/17,03:30:00,19.350,5,1,3
11/01/17,04:00:00,19.222,5,1,3
11/01/17,04:30:00,19.158,5,1,3
11/01/17,05:00:00,18.700,5,1,3
11/01/17,05:30:00,19.866,5,1,3
11/01/17,06:00:00,20.448,5,1,3
11/01/17,06:30:00,20.640,5,1,3
11/01/17,07:00:00,20.960,5,1,3
11/01/17,07:30:00,21.222,5,1,3
11/01/17,08:00:00,21.354,5,1,3
11/01/17,08:30:00,21.482,5,1,3
11/01/17,09:00:00,22.126,5,1,3
11/01/17,09:30:00,22.320,5,1,3
11/01/17,10:00:00,21.934,5,1,3
11/01/17,10:30:00,21.224,5,1,3
11/01/17,11:00:00,21.674,5,1,3
11/01/17,11:30:00,21.674,5,1,3
11/01/17,12:00:00,21.866,5,1,3
11/01/17,12:30:00,22.124,5,1,3
11/01/17,13:00:00,22.188,5,1,3
11/01/17,13:30:00,22.060,5,1,3
11/01/17,14:00:00,22.062,5,1,3
11/01/17,14:30:00,21.418,5,1,3
11/01/17,15:00:00,21.094,5,1,3
11/01/17,15:30:00,22.128,5,1,3
11/01/17,16:00:00,21.092,5,1,3
11/01/17,16:30:00,20.960,5,1,3
11/01/17,17:00:00,20.768,5,1,3
11/01/17,17:30:00,20.770,5,1,3
11/01/17,18:00:00,20.770,5,1,3
11/01/17,18:30:00,20.062,5,1,3
11/01/17,19:00:00,19.736,5,1,3
11/01/17,19:30:00,19.478,5,1,3
11/01/17,20:00:00,19.672,5,1,3
11/01/17,20:30:00,19.030,5,1,3
11/01/17,21:00:00,18.898,5,1,3
11/01/17,21:30:00,18.896,5,1,3
11/01/17,22:00:00,18.702,5,1,3
11/01/17,22:30:00,18.572,5,1,3
11/01/17,23:00:00,19.220,5,1,3
11/01/17,23:30:00,18.060,5,1,3
12/01/17,00:00:00,18.252,5,1,3
12/01/17,00:30:00,18.124,5,1,3
12/01/17,01:00:00,18.188,5,1,3
12/01/17,01:30:00,17.804,5,1,3
12/01/17,02:00:00,17.804,5,1,3
12/01/17,02:30:00,17.542,5,1,3
12/01/17,03:00:00,17.410,5,1,3
12/01/17,03:30:00,17.350,5,1,3
12/01/17,04:00:00,17.090,5,1,3
12/01/17,04:30:00,17.350,5,1,3
12/01/17,05:00:00,17.092,5,1,3
12/01/17,05:30:00,16.770,5,1,3
12/01/17,06:00:00,16.770,5,1,3
12/01/17,06:30:00,16.898,5,1,3
12/01/17,07:00:00,16.706,5,1,3
12/01/17,07:30:00,16.706,5,1,3
12/01/17,08:00:00,16.450,5,1,3
12/01/17,08:30:00,16.578,5,1,3
12/01/17,09:00:00,17.994,5,1,3
12/01/17,09:30:00,21.028,5,1,3
12/01/17,10:00:00,22.448,5,1,3
12/01/17,10:30:00,23.284,5,1,3
12/01/17,11:00:00,21.994,5,1,3
12/01/17,11:30:00,22.962,5,1,3
12/01/17,12:00:00,22.642,5,1,3
12/01/17,12:30:00,23.284,5,1,3
12/01/17,13:00:00,23.804,5,1,3
12/01/17,13:30:00,24.254,5,1,3
12/01/17,14:00:00,24.446,5,1,3
12/01/17,14:30:00,24.768,5,1,3
12/01/17,15:00:00,24.318,5,1,3
12/01/17,15:30:00,23.785,5,1,3
12/01/17,16:00:00,23.092,5,1,3
12/01/17,16:30:00,21.994,5,1,3
12/01/17,17:00:00,21.354,5,1,3
12/01/17,17:30:00,21.354,5,1,3
12/01/17,18:00:00,21.740,5,1,3
12/01/17,18:30:00,20.898,5,1,3
12/01/17,19:00:00,20.834,5,1,3
12/01/17,19:30:00,20.834,5,1,3
12/01/17,20:00:00,20.576,5,1,3
12/01/17,20:30:00,20.320,5,1,3
12/01/17,21:00:00,19.802,5,1,3
12/01/17,21:30:00,19.932,5,1,3
12/01/17,22:00:00,19.222,5,1,3
12/01/17,22:30:00,19.030,5,1,3
12/01/17,23:00:00,18.898,5,1,3
12/01/17,23:30:00,18.700,5,1,3
13/01/17,00:00:00,18.700,5,1,3
13/01/17,00:30:00,18.444,5,1,3
13/01/17,01:00:00,18.510,5,1,3
13/01/17,01:30:00,18.188,5,1,3
13/01/17,02:00:00,17.996,5,1,3
13/01/17,02:30:00,18.190,5,1,3
13/01/17,03:00:00,17.820,5,1,3
13/01/17,03:30:00,17.672,5,1,3
13/01/17,04:00:00,17.476,5,1,3
13/01/17,04:30:00,17.476,5,1,3
13/01/17,05:00:00,17.604,5,1,3
13/01/17,05:30:00,17.476,5,1,3
13/01/17,06:00:00,17.026,5,1,3
13/01/17,06:30:00,16.962,5,1,3
13/01/17,07:00:00,17.026,5,1,3
13/01/17,07:30:00,17.090,5,1,3
13/01/17,08:00:00,17.866,5,1,3
13/01/17,08:30:00,19.092,5,1,3
13/01/17,09:00:00,20.186,5,1,3
13/01/17,09:30:00,21.932,5,1,3
13/01/17,10:00:00,22.186,5,1,3
13/01/17,10:30:00,22.772,5,1,3
13/01/17,11:00:00,22.900,5,1,3
13/01/17,11:30:00,23.156,5,1,3
13/01/17,12:00:00,23.542,5,1,3
13/01/17,12:30:00,24.642,5,1,3
13/01/17,13:00:00,24.638,5,1,3
13/01/17,13:30:00,24.704,5,1,3
13/01/17,14:00:00,24.126,5,1,3
13/01/17,14:30:00,24.030,5,1,3
13/01/17,15:00:00,23.672,5,1,3
13/01/17,15:30:00,23.348,5,1,3
13/01/17,16:00:00,22.834,5,1,3
13/01/17,16:30:00,22.316,5,1,3
13/01/17,17:00:00,22.962,5,1,3
13/01/17,17:30:00,21.674,5,1,3
13/01/17,18:00:00,21.418,5,1,3
13/01/17,18:30:00,21.418,5,1,3
13/01/17,19:00:00,21.610,5,1,3
13/01/17,19:30:00,21.546,5,1,3
13/01/17,20:00:00,21.350,5,1,3
13/01/17,20:30:00,20.512,5,1,3
13/01/17,21:00:00,20.256,5,1,3
13/01/17,21:30:00,19.934,5,1,3
13/01/17,22:00:00,19.670,5,1,3
13/01/17,22:30:00,19.864,5,1,3
13/01/17,23:00:00,19.478,5,1,3
13/01/17,23:30:00,19.414,5,1,3
14/01/17,00:00:00,19.416,5,1,3
14/01/17,00:30:00,19.030,5,1,3
