PHASE;ID;GENDER;ATENEO;CLASS;FASCIAETA;ANNO;LIVELLO;ESAME_!;ESAME_2;ESAME_TOT;RIP;EFFICACIA
2;42956;M;TORINO;CL03;2;2014;3;1;0;0;;85%
2;48366;M;NAPOLI;CL05;2;2015;2;0;1;0;;27%
2;49477;F;TRENTO;CL09;1;2008;2;1;1;1;;45%
2;50498;M;SALERNO;CL01;2;2005;3;1;1;1;;45%
2;47210;M;PAVIA;CL05;2;2014;3;0;0;0;;9%
2;45997;M;MILANO;CL05;2;2011;3;1;1;1;;56%
2;50625;M;MILANO;CL01;2;2015;3;1;0;0;;38%
2;50914;F;PALERMO;CL01;2;2006;2;1;1;1;;55%
2;50013;M;CATANIA;CL05;2;2014;2;1;1;1;;45%
2;46294;M;PISA;CL05;2;2015;3;1;1;1;;38%
3;53492;M;ROMA;CL05;1;2002;3;0;1;0;;20%
3;51471;M;FIRENZE;CL05;2;2015;3;1;1;1;;56%
3;59347;M;FERRARA;CL04;1;2004;3;1;1;1;;45%
3;51198;M;TRENTO;CL05;2;2012;3;0;0;0;;60%
3;59901;M;EXTRA-UE;CL09;1;2015;3;1;1;1;;69%
3;52995;M;MESSINA;CL05;2;2014;3;1;1;1;;54%
3;59772;M;UDINE;CL05;2;2016;3;1;1;1;;45%
3;59685;M;VERONA;CL01;2;2014;3;1;1;1;;69%
3;60350;M;TRENTO;CL09;1;2011;3;1;0;0;;54%
3;58681;M;REGGIO CALABRIA;CL05;2;2011;3;1;0;0;;38%
3;53569;F;VERONA;CL01;2;2016;3;1;1;1;;85%
3;56280;M;MILANO;CL01;2;2015;3;0;1;0;;60%
3;55887;M;VARESE;CL05;2;2005;3;1;1;1;;64%
3;57278;M;TRENTO;CL01;2;2002;3;1;0;0;;91%
3;56161;M;ROMA;CL05;2;2007;2;1;1;1;;78%
3;53599;M;BARI;CL05;1;2004;3;1;1;1;;54%
3;57083;M;MILANO;CL01;2;2010;2;0;0;0;;43%
3;54770;M;TORINO;CL05;2;2015;3;1;1;1;;54%
3;51391;M;PERUGIA;CL01;2;2015;3;1;1;1;;45%
3;59952;M;CAMPOBASSO;CL05;2;2015;3;1;1;1;;38%
3;60282;M;PADOVA;CL01;2;2010;3;1;1;1;;85%
3;58138;M;UE;CL09;1;2012;3;1;1;1;;64%
3;59981;M;GENOVA;CL01;2;2015;3;1;1;1;;45%
3;57241;M;MILANO;CL04;2;2001;3;1;0;0;;56%
3;59722;M;PALERMO;CL01;2;2004;3;1;0;0;;38%
3;51434;M;BOLOGNA;CL05;2;2015;3;0;1;0;;43%
4;71725;M;SALERNO;CL01;2;2006;3;1;0;0;;64%
4;69958;M;MILANO;CL01;2;2005;3;1;0;0;1;56%
4;64439;M;TORINO;CL01;2;2002;2;1;0;0;;82%
4;72741;M;NAPOLI;CL05;2;2014;3;1;1;1;1;69%
4;64963;M;CASERTA;CL05;2;2005;3;1;1;1;1;45%
4;62916;F;ROMA;CL01;2;2015;3;1;1;1;;78%
4;67252;M;BARI;CL05;1;2002;3;1;0;0;1;54%
4;73463;M;BRESCIA;CL01;2;2015;3;0;1;0;1;27%
4;69375;M;MESSINA;CL05;2;2016;3;1;1;1;1;54%
4;60517;M;LECCE;CL05;2;2015;3;0;1;0;1;23%
4;69938;M;PADOVA;CL05;1;2004;2;1;0;0;;64%
4;68354;F;ROMA;CL05;2;2015;2;1;0;0;;56%
4;72963;M;MILANO;CL01;2;2010;3;1;0;0;1;45%
4;72809;F;TORINO;CL05;2;2014;3;0;1;0;;33%
4;69623;M;PADOVA;CL05;2;2015;2;1;0;0;1;54%
4;70699;M;UE;CL09;1;2013;3;0;0;0;;27%
4;70938;M;VERONA;CL05;2;2014;3;1;1;1;;69%
4;68032;M;NAPOLI;CL08;2;2002;2;0;0;0;;33%
4;73905;M;ROMA;CL08;2;2013;3;1;0;0;;38%
4;69644;F;UE;CL09;1;2009;3;1;1;1;;38%
4;73360;F;MILANO;CL01;2;2016;3;1;1;1;;64%
4;61905;M;UDINE;CL05;2;2017;3;1;0;0;;54%
4;71520;F;PADOVA;CL01;2;2017;3;1;0;0;;45%
4;73911;M;UE;CL09;1;2006;3;1;0;0;;38%
4;67509;M;UE;CL05;2;2014;3;0;1;0;1;27%
4;69987;F;CASERTA I;CL01;2;2002;3;1;1;1;1;82%
4;64151;M;EXTRA-UE;CL09;2;2008;3;1;1;1;1;78%
4;61879;M;EXTRA-UE;CL09;1;2013;2;1;1;1;;54%
4;64487;M;REGGIO CALABRIA;CL05;2;2011;3;1;1;1;;78%
4;72760;M;PISA;CL01;2;2005;3;1;1;1;1;64%
4;67669;M;MILANO;CL05;2;2015;3;1;1;1;1;100%
4;70422;M;BRESCIA;CL05;2;2010;3;1;1;1;1;45%
4;73189;M;SIENA;CL05;2;2006;3;1;1;1;1;64%
4;72776;M;MODENA;CL05;2;2015;3;1;1;1;1;45%
4;66718;M;REGGIO CALABRIA;CL01;2;2011;2;1;1;1;;54%
4;69444;M;TRENTO;CL05;2;2007;3;1;0;0;;64%
4;73995;M;PADOVA;CL01;2;2006;2;1;0;0;;38%
4;60804;M;MILANO;CL05;2;2015;3;1;1;1;;100%
4;64608;M;UE;CL09;2;2014;3;1;1;1;;69%
4;67263;M;UE;CL09;2;2014;3;1;1;1;;64%
4;71061;F;TORINO;CL01;2;2005;3;1;1;1;;69%
4;73405;M;L'AQUILA;CL01;2;2014;3;1;1;1;;85%
4;70078;M;NAPOLI;CL01;2;2010;3;1;1;1;;69%
4;70822;M;GENOVA;CL05;1;2016;3;0;0;0;;23%
4;72743;M;ROMA;CL08;2;2015;3;1;1;1;;69%
4;62145;M;LECCE;CL05;1;2004;3;1;0;0;;38%
4;67227;M;PADOVA;CL08;2;2014;3;0;0;0;;33%
4;72041;M;PALERMO;CL05;2;2004;3;1;0;0;1;64%
4;71728;M;MESSINA;CL01;2;2001;3;1;1;1;;38%
4;71765;M;TRENTO;CL09;2;2016;2;1;1;1;1;56%
4;67334;F;BOLZANO;CL01;2;2005;3;1;1;1;1;62%
4;60980;M;ENNA;CL05;2;2015;3;1;1;1;1;45%
4;70346;M;EXTRA-UE;CL09;1;2006;2;0;0;0;;11%
4;61314;M;ROMA;CL05;2;2015;3;1;1;1;;38%
4;67607;M;PISA;CL05;2;2014;3;1;1;1;1;69%
4;72837;M;CAGLIARI;CL01;1;2017;3;0;0;0;;23%
4;71092;M;ROMA;CL01;2;2001;3;1;1;1;;54%
4;60437;M;REGGIO CALABRIA;CL05;2;2015;3;1;1;1;1;38%
4;68210;M;UE;CL05;2;2015;3;1;0;0;1;56%
4;69629;M;TRENTO;CL09;1;2003;3;1;0;0;1;82%
4;68951;M;ROMA;CL05;2;2006;2;1;0;0;1;69%
5;86175;F;NAPOLI;CL05;1;2016;3;0;1;0;;31%
5;98216;M;ROMA;CL05;2;2015;2;1;1;1;;82%
5;103986;F;SALERNO;CL01;2;2002;2;0;0;0;;33%
5;92534;F;BARI;CL05;1;2009;3;1;1;1;;54%
5;88889;F;MILANO;CL05;2;2001;3;1;1;1;1;38%
5;92624;M;MILANO;CL05;2;2014;3;1;1;1;;71%
5;105458;M;MILANO;CL01;2;2015;3;1;0;0;1;54%
5;90774;M;TRENTO;CL09;1;2007;3;1;1;1;;38%
5;78891;M;FIRENZE;CL05;2;2015;3;1;1;1;;64%
5;95685;M;PARMA;CL01;1;2007;3;1;0;0;;38%
5;100307;F;PISA;CL05;2;2002;2;0;1;0;;27%
5;87634;M;PERUGIA;CL01;2;2005;3;1;1;1;;54%
5;88452;M;TRENTO;CL05;2;2012;3;0;0;0;1;60%
5;84718;M;VERONA;CL05;2;2018;3;1;1;1;;56%
